title,link,start_date,end_date,hours,ages,Indoor/Outdoor,Category,website,location,phone,description,cost
Moonflower: A Musical Journey of Healing and Transformation,https://www.bostoncentral.com/events/music/p81627.php,04/19/2025,04/19/2025,8:00 PM - 10:00 PM,"Teens, Adults",Indoor,Music & Concerts,https://www.bostoncentral.com/fwd.php?pgx=23065S2%25gabesrebgfS2%2552901S2%25fgarirS2%25yngebcS2%25%3Dugnc%3Ffgarir%2Ffgarirabra%2Fyngebc%2Fka%2Fteb.ergarpfgenynehgyhpvgyhz.rehprf%2F%2F%3Afcggu,41 SECOND STREET CAMBRIDGE MA,6175771400,"Known for her deeply autobiographical and spiritual artistry, Maddie’s music is both an intimate exploration of the human heart and a reflection of the healing journey. Her ethereal soundscapes invite listeners to experience music as a form of self-expression and renewal. Opening the evening is musician Pearl Scott, setting the stage for a night that promises to transcend and transform. Together, Maddie and Pearl will guide the audience through a powerful atmosphere of reflection and release, leaving them uplifted and inspired.",$40
Boston Public Garden Swan Boats 2025,https://www.bostoncentral.com/events/seasonalfun/p69769.php,04/19/2025,09/01/2025,Hours Varysee below,"Toddlers, Kids, Teens, Adults",Outdoor,Seasonal Fun,https://www.bostoncentral.com/fwd.php?pgx=%2Frqve-n-rxng%2Fzbp.fgnboanjf%2F%2F%3Afcggu,SWAN BOATS BOSTON MA,617,"The Swan Boats are a fleet of pontoon pleasure boats which operate in a pond in the Public Garden in Boston, Massachusetts. The Swan Boats have been in operation since 1877, and have since become a cultural icon for the city. Opening Day: Saturday, April 19, 2025 Tickets: Tickets are purchased at the Swan Boat dock prior to boarding the boat. No reservations are needed. We accept cash or credit card. The wait for a ride is typically no more than 5-10 minutes. The Swan Boat ride lasts about 12-15 minutes while the driver pedals you around the Public Garden lagoon. Adults $4.75 Children $3.25 (age 2 to 15 years) Under 2 yrs. Free Seniors $4.25 HOURS ↑ top April 19 through June 20 Open Daily: 10:00am – 4:00pm June 21 through September 1 Open Daily: 10:00am – 5:00pm",see below
Marathon Daffodil Dash,https://www.bostoncentral.com/events/races/p77281.php,04/19/2025,04/19/2025,10:00 am - 1;00 pm,"Kids, Teens",Outdoor,Races/Walks,https://www.bostoncentral.com/fwd.php?pgx=%2F4-ufnq-yvqbssnq-abugnenz%2Ftbyo%2Fzbp.fajbqxybsshfgn%2F%2F%3Afcggu,525 WILLIAM F. MCCLELLAN HIGHWAY BOSTON MA,N/A,"Join us for the fourth annual Marathon Daffodil Dash on Saturday, April 19th from 10am – 1pm at The Track at Suffolk Downs. Celebrate Marathon weekend in the city with a kids race on the historic racetrack! The Track will be filled with ‘Marathon Daffodils’ that line the streets of Boston leading up to the Boston Marathon finish line. The Marathon Daffodils project began in 2013 after the Marathon bombing as the yellow daffodil symbolizes strength and hope. We are proud to be part of the 12th anniversary of celebrating strength and hope across our city. There will be three 50-yard dash races for grades K-2, grades 3-5, and grades 6-8. The races will not be timed, and all participants will receive a bib number and t-shirt. The races will begin at 10:30am. After the race, hang out in the Paddock with food trucks, face painting, flower crowns, and a DJ! This event is free to attend and open to the public. Spots are limited and RUNNER REGISTRATION IS REQUIRED.",Free
Easter Egg Hunt - East Bridgewater,https://www.bostoncentral.com/events/seasonalfun/p77476.php,04/19/2025,04/19/2025,10:30 am - 11:00 am,"Toddlers, Kids","Indoor, Outdoor",Seasonal Fun,https://www.bostoncentral.com/fwd.php?pgx=9575131026821-fgrxpvg-gahu-ttr-ergfnr%2Fr%2Fzbp.rgveogarir.jjj%2F%2F%3Afcggu,OLD COLONY YMCA - EAST BRIDGEWATER 635 PLYMOUTH STREET EAST BRIDGEWATE MA,N/A,"It's that time of year again for a fun Egg Hunt! Come join us on Saturday, April 19 at Camp Satucket for a fun filled morning! The event will start at 10:30 am and will run for 30 minutes.  Be on time! Bring your little ones and let's all enjoy this seasonal fun has to bring. Also, do not forget to bring your Easter Basket!!",Free
Seacoast Science Center’s Rescue Run: Race for Marine Mammals,https://www.bostoncentral.com/events/races/p81325.php,04/19/2025,04/19/2025,Hours Varysee below,"Kids, Teens, Adults",Outdoor,Races/Walks,https://www.bostoncentral.com/fwd.php?pgx=%2Ffynzznz-ravenz-ebs-rpne-ahe-rhpfre%2Fjrvierib-fgarir%2Fteb.ergarprparvpfgfnbpnrf.jjj%2F%2F%3Afcggu,570 OCEAN BOULEVARD RYE RYE NH,9717089415,"On Saturday, April 19th, Seacoast Science Center will host its 16th annual Rescue Run: Race for Marine Mammals, presented by Meredith Village Savings Bank. This event features a 5k run or walk, along with a children’s fun run, with all proceeds benefiting the SSC Marine Mammal Rescue program. The 5k race will start promptly at 9 am, followed by the children’s fun runs at 10:30 and 10:45 am. The unique 5k trail winds through the various terrains in historic Odiorne Point State Park. Participants will traverse woods, military bunkers, and the beach, concluding along the picturesque oceanfront property in front of Seacoast Science Center. The morning will culminate with a beach clean-up at 11 am and we would love your help in tidying up the shoreline. Our run is the largest annual fundraising event to benefit our Marine Mammal Rescue program. We will cheer you on to the finish line as you support SSC’s wildlife conservation and educational outreach work. HOURS ↑ top Saturday, April 19, 2025 (9am-12pm) • 9:00 am: 5K Trail Run heats begin • 10:30 am: Kids Fun Run 300 yard dash • 10:45 am: Kids Fun Run half-mile run • 11:00 am: Beach Cleanup",$see below
Seacoast Science Center’s Rescue Run: Race for Marine Mammals,https://www.bostoncentral.com/events/fundraiser/p81482.php,04/19/2025,04/19/2025,Hours Varysee below,"Toddlers, Kids, Teens, Adults",Outdoor,Fundraisers,https://www.bostoncentral.com/fwd.php?pgx=%2Ffynzznz-ravenz-ebs-rpne-ahe-rhpfre%2Fjrvierib-fgarir%2Fteb.ergarprparvpfgfnbpnrf.jjj%2F%2F%3Afcggu,570 OCEAN BOULEVARD RYE RYE NH,N/A,"On Saturday, April 19th, Seacoast Science Center will host its 16th annual Rescue Run: Race for Marine Mammals, presented by Meredith Village Savings Bank. This event features a 5k run or walk, along with a children’s fun run, with all proceeds benefiting the SSC Marine Mammal Rescue program. The 5k race will start promptly at 9 am, followed by the children’s fun runs at 10:30 and 10:45 am. The unique 5k trail winds through the various terrains in historic Odiorne Point State Park. Participants will traverse woods, military bunkers, and the beach, concluding along the picturesque oceanfront property in front of Seacoast Science Center. The morning will culminate with a beach clean-up at 11 am and we would love your help in tidying up the shoreline. Our run is the largest annual fundraising event to benefit our Marine Mammal Rescue program. We will cheer you on to the finish line as you support SSC’s wildlife conservation and educational outreach work. Saturday, April 19, 2025 (9am-12pm) 9:00 am: 5K Trail Run heats begin 10:30 am: Kids Fun Run 300 yard dash 10:45 am: Kids Fun Run half-mile run 11:00 am: Beach Cleanup This year’s official race t-shirt is a moisture-wicking performance short-sleeve shirt in adult sizes only. The first 150 registrants receive a FREE shirt. Race shirts are also available for purchase for just $18 during the registration process. Please remember that dogs are not allowed in Odiorne Point State Park. An adult must accompany children aged 12 and under on the 5K. 5K Trail Run Individual Participant Fees: 5K Trail Race (ages 13+): before 3/15 $35 ($45 after 3/15) 5k Trail Race (ages 6-12): before 3/15 $25 ($30 after 3/15) 5k Trail Race (under age 6): FREE Kids Fun Run (up to age 12)-300 yard dash or half mile run: $12 Register HERE! For more information, please click HERE! Seacoast Science Center 570 Ocean Boulevard Rye, NH 03870-2104 603-436-8043 info@sscnh.org HOURS ↑ top Saturday, April 19, 2025 (9am-12pm) 9:00 am: 5K Trail Run heats begin 10:30 am: Kids Fun Run 300 yard dash 10:45 am: Kids Fun Run half-mile run 11:00 am: Beach Cleanup",$$see below
Patriots' Day at the Concord Museum,https://www.bostoncentral.com/events/special/p81792.php,04/19/2025,04/19/2025,9:00 AM - 8:30 PM,"Infants, Toddlers, Kids, Teens, Adults","Indoor, Outdoor",Special Events,https://www.bostoncentral.com/fwd.php?pgx=%2Flnq-fgbvegnc%2Fgarir%2Fteb.zhrfhzqebpabp%2F%2F%3Afcggu,53 CAMBRIDGE TURNPIKE CONCORD MA,9783699763,"Free admission (9:00 am – 5:00 pm), including access to the immersive April 19, 1775 galleries to see the original lantern from Paul Revere’s famous midnight ride and the new special exhibition Whose Revolution. A family-friendly encampment of Revolutionary Living History (10:00 am – 5:00 pm). Billerica Colonial Minutemen will drill with muskets, cook over an open firepit, and demonstrate colonial crafts. Family drop-in activities (9:00 am – 4:00 pm) inspired by the American Revolution and the new Barefoot Books publication Rise Up! A Forum with Doris Kearns Goodwin (6:00 – 7:00 pm) on the American Revolution and its legacy. Seating is limited and advanced registration is required. An outdoor concert with the Goodwin Band (7:30 – 8:30 pm), finishing with a view of a town-wide drone show. Food trucks, an ice cream truck, and a wine and beer truck all day and evening. Free Museum admission is supported by Highland Street Foundation, and Patriots’ Day family activities are supported by the Massachusetts Society of the Cincinnati Looking for more Patriots Day events and things to do ?  Peruse our handy guide for lots more ideas and insider tips to enjoying this unique Massachusetts holiday.",Free
Family Easter Workshop: Clay Bunny Sculptures,https://www.bostoncentral.com/events/art/p81813.php,04/19/2025,04/19/2025,2:00 pm - 4:00 pm,"Kids, Teens, Adults",Indoor,Arts & Crafts,https://www.bostoncentral.com/fwd.php?pgx=upenrfgfrqoffqor%3Dssn%3F9963860393621-abvgnegfvtre-zc4-2-zbes-914-frehgcyhpf-laaho-lnyp-cbufxebj-ergfnr-lyvzns%2Fr%2Fzbp.rgveogarir.jjj%2F%2F%3Afcggu,"PUDGY'S PLACE, 119R FOSTER STREET, BLDG. 13 REAR, SUITE 1E PEABODY MA",N/A,"The whole family can enjoy creating a customized and unique bunny figurine out of clay! In this workshop, you'll learn all of the beginner essentials for miniature animated figurines. You'll be guided through each step with demos, instructions, and personalized tips in an encouraging space! The goals for the day are to explore a new art form, have fun, and make something with your hands! Ceramics is one of the most meditative mediums as it connects us with ourselves, the earth, and all elements. Go ahead and enjoy an afternoon full of good vibes, goofiness, and mud! :) Your pieces will be ready for pick up approximately 3 weeks after the event (or can be shipped to you for a small added fee). Pottery/ceramics needs to be fired in a kiln twice (once for bisque and the second for glaze) which takes multiple days. Once glaze fired, the pieces will be durable. Both firings are included in the workshop fee and you get to pick how you want your piece to be glazed (colored) in the end! For this workshop ALL AGES ABOVE 5 are welcome to attend. Our typical age range for classes and workshops is 18+ though anyone over the age of 10 years old is welcome to attend (any person under the age of 13 must be accompanied by an adult at all times). Note: Shahane will be the instructor! She has taught pottery since 2016, got her BFA in ceramic arts in 2015 with a double minor in art history and psychology, and owns Pudgy's Place with her husband Phillip :)",$65.87
Sailing for All! | Community Boating Open House,https://www.bostoncentral.com/events/water/p82227.php,04/19/2025,04/19/2025,10:00 AM - 2:00 PM,"Kids, Teens, Adults",Outdoor,Water Fun,https://www.bostoncentral.com/fwd.php?pgx=%2Fteb.tavgnbo-lgvahzzbp.jjj%2F%2F%3Afcggu,45 BANKS LEXINGTON MA,2482200346,"Our Open Houses are a great way to learn more about Community Boating and how YOU can start sailing, paddling, and windsurfing on the Charles River. Please join us on Saturday April 19th. We will be hosting FREE Orientations throughout the day. Orientation is the gateway to everything that CBI has to offer, whether you’re a seasoned sailor or brand new to boats. Done entirely on the dock, it will include a guided tour of CBI’s boats and facilities, an overview of our classes and programs, as well as plenty of time to ask the questions that matter to you. Orientations will be held on the dock at 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm, 5pm, 6pm and 7pm. Start your ‘Learn to Sail’ journey with us right away by sticking around for the Rigging and Shore School classes! Discounted memberships will be available The first 25 new members signing up in person will receive a gift bag! We’ll also have coffee and donuts in the morning, complimentary snacks with water and seltzer thanks to Polar Beverages, lawn games, and free raffles! WEBSITE ↑ top www.community-boating.org/ LOCATION ↑ top 45 Banks, Lexington, MA, 02421 map Phone: 2482200346 On the Charles River Esplanade, between the Hatch Memorial Shell and the Longfellow Bridge 21 David G Mugar Way Boston, MA 02114 Phone (617) 523-1038 RELATED LINKS ↑ top Profiles Water Fun Localities Boston Events Sailing for All! | Community Boating Open House... , 4/19/25-4/19/25 Info changes frequently. We cannot warrant it.  Verify with Sailing for All! | Community Boating Open House before making the trek. If you find an error, please report it... Report Error Popular Resources Boston with Kids Free Things to Do Family & Kids Events Mass RMV - DMV Boston Birthday Parties Boston Museums Rose Kennedy Greenway Boston Aquarium Boston Massachusetts Boston Bowling Boston Haymarket Boston Whale Watching",Free
EGG,https://www.bostoncentral.com/events/performances/p81974.php,04/19/2025,04/19/2025,9:00 pm to 10:00 pm,"Teens, Adults",Indoor,Performances,https://www.bostoncentral.com/fwd.php?pgx=76s37371o962-7058-no44-29np-q5927n49%2Frhari%2Fzbp.kvgzhylfn%2F%2F%3Afcggu,74 WARRENTON ST BOSTON MA,6172631221,"Sarah Adelman, a neurotic, overachieving scientist at a prestigious NYC sperm bank, watches her carefully-planned life suddenly explode when Human Resources discovers her raunchy online comedy routine about her day job. “EGG” was developed during a year-long residency at Ars Nova Theater in their prestigious comedy program and was an official selection for the New York Comedy Festival “Charming coming-of-age stand up show” - Jason Zinoman, New York Times “EGG hits all the right spots. Funny and poignant. I loved it” - Carole Montgomery, creator of Funny Woman of a Certain Age on Showtime IMPORTANT TO KNOW: Lil' Chuck has a full cocktail bar open from 8:30 PM until 1 hour after the end of the performance. 21+ to drink with valid ID or US Passport ADA Accessible",$25.00
Family Open House: Caring for the Coast,https://www.bostoncentral.com/events/nature/p81994.php,04/19/2025,04/19/2025,10:00 am - 3:00 pm,"Toddlers, Kids, Adults","Indoor, Outdoor",Nature & Outdoors,https://www.bostoncentral.com/fwd.php?pgx=gfnbp-rug-ebs-tavenp-rfhbu-arcb-lyvzns-19769%2Ffgnys-nccbw%2Ffznetbec%2Fteb.abohqhnffnz.jjj%2F%2F%3Afcggu,"JOPPA FLATS EDUCATION CENTER, 1 PLUM ISLAND TURNPIKE NEWBURYPORT MA",N/A,"Drop in to see our tide pool touch tank and meet some moon snails, hermit crabs and sea stars! Learn about shorebird protection and find out what lives in the salt marsh! Family presentations with Miss Lisa at 11am about Piping Plovers and at 1pm about Harbor Seals. Suggested donation of $2 per person. This program is open to families with children aged 3-14. Children must be accompanied by adults. This is an indoor event with an optional salt marsh clean-up outdoors, weather permitting. Optional Salt Marsh Clean-up at the Joppa Flats salt marsh onsite from 9am - 1pm for ages 5 through adult. Please register by April 18 by sending an email to Allie Sliney, Volunteer Coordinator at asliney@massaudubon.org.",Free
Spring Break at LEGO Discovery Center Boston,https://www.bostoncentral.com/events/communityaction/p82059.php,04/19/2025,04/27/2025,10:00 AM - 7:00 PM,"Toddlers, Kids",Indoor,Community Action,https://www.bostoncentral.com/fwd.php?pgx=2699%3Dqvc%3F0-2503592%2Fzbp.gaiir.bt%2F%2F%3Afcggu,598 ASSEMBLY ROW SOMERVILLE MA,N/A,"Spring Break is right around the corner, and there's no better place to unleash your creativity than LEGO Discovery Center Boston! Get ready to build, play, and explore as you dive into a world of hands-on LEGO fun. From interactive workshops with Master Model Builders to thrilling rides and jaw-dropping LEGO creations, every moment is packed with excitement. Whether you're racing custom LEGO cars, exploring MINI WORLD, or taking on a creative challenge, this is the ultimate destination for non-stop adventure. Don't miss out on the most bricktastic Spring Break ever—start planning your visit today! For tickets, please click HERE! Date and Time: Starts: Sat, Apr 19, 25 (10:00 AM) Ends: Sun, Apr 27, 25 ( 7:00 PM) Venue Details: 598 Assembly Row, 598 Assembly Row, Somerville, Massachusetts, 02145, United States Category: Attractions | Attractions & Days Out Price General Admission: USD 29.99",$see below
Cisad,https://www.bostoncentral.com/events/theater/p82067.php,04/19/2025,04/19/2025,8:00 pm,"Kids, Teens, Adults",Indoor,Theater & Shows,https://www.bostoncentral.com/fwd.php?pgx=%2Fqnfvp%2Ffgarir%2Fzbp.regnrugynvabybpabferzr.jjj%2F%2F%3Afcggu,106 BOYLSTON STREET BOSTON MA,8886160272,"The concert-theatre Cisad (Gaat), with a different storyline but again focused on resistance and the defense of cultural heritage and Iranian territorial integrity, was staged for 33 nights in the summer and fall of 2024 at Sa’adabad Palace, attended by over 140,000 spectators. Set six years after the Mongol invasion of Neyshabur, Gaat narrates the resistance and struggle of the people of Shiraz against the Mongol army, as they attempt to invade Takht-e Jamshid, destroy the Jaam-e Jam, and eradicate the Persian language in Iran. This project provided a cultural image of Iran’s national treasures to the world and served as a reminder of patriotism and self-reliance to the youth.",$$see below
Seeds of Sorcery at New England Botanic Garden,https://www.bostoncentral.com/events/schoolvacationweek/p82097.php,04/19/2025,04/24/2025,10:00 AM – 4:00 PM,"Toddlers, Kids, Teens, Adults","Indoor, Outdoor",School Vacation,https://www.bostoncentral.com/fwd.php?pgx=%2Fabvgnpni-ybbupf%2Fteb.tora%2F%2F%3Afcggu,11 FRENCH DRIVE BOYLSTON MA,508,"Journey into a world of magic at New England Botanic Garden this April school vacation week as you and your family explore the Garden’s transformed drop-in activity room and enroll in supernatural science classes. Whether you are practicing spells, mastering herbology, or studying fantastical beasts, there’s an adventure waiting for every young sorcerer. Learn more and register for classes HERE .",$0 - $21
Passover Story Time with Local Author Jane Sutton in Natick,https://www.bostoncentral.com/events/books/p82107.php,04/19/2025,04/19/2025,11:00 a.m. - 11:30 a.m.,"Infants, Toddlers, Kids",Indoor,Books & Poetry,https://www.bostoncentral.com/fwd.php?pgx=ebgnrepgqgqqb%3Dssn%3F9987872880821-fgrxpvg-xpvgna-av-abgghf-ranw-ebughn-ynpby-ugvj-rzvg-lebgf-eribffnc%2Fr%2Fzbp.rgveogarir.jjj%2F%2F%3Afcggu,22 MAIN STREET NATICK MA,N/A,"Join us for a Passover themed story time with local author Jane Sutton, author of Zayde Babysits Before Passover and Paulie’s Passover Predicament. Jane will read both stories and will share a craft! Tickets for this event are free, but we ask that all guests register in advance as we have limited spots available. Sign up below. Zayde Babysits Before Passover Passover starts tonight and Zayde is babysitting for Ruthie―his first time by himself! Mommy has left a list of things to do: Buy parsley at the grocery store for the seder plate, go to the playground so Ruthie can use up energy, then use up more energy at home because seders last a long time. And be sure Ruthie takes a nap. But who exactly is babysitting whom as an afternoon of shenanigans ensue? Paulie’s Passover Predicament Paulie the moos-ician wants his seder to be perfect…but…it’s not. Paulie makes a series of amusing gaffes, like carving a radish into the shape of a horse instead of serving horseradish and getting locked in the basement when he searches for the afikomen. But in the end, the significance of the holiday and warm friendships make for a joyous celebration. Learn more about Jane and her books! REGISTER HERE! WEBSITE ↑ top www.eventbrite.com/e/passover-story-time-with-local-author-jane-sutton-in-natick-tickets-1280882787899?aff=oddtdtcreator LOCATION ↑ top 22 Main Street, Natick, MA, 01760 map 22 Main Street Natick, MA 01760 RELATED LINKS ↑ top Profiles Books & Poetry Localities Natick Events Passover Story Time with Local Author Jane Sutton ... , 4/19/25-4/19/25 Info changes frequently. We cannot warrant it.  Verify with Passover Story Time with Local Author Jane Sutton in Natick before making the trek. If you find an error, please report it... Report Error Popular Resources Boston with Kids Free Things to Do Family & Kids Events Mass RMV - DMV Boston Birthday Parties Boston Museums Rose Kennedy Greenway Boston Aquarium Boston Massachusetts Boston Bowling Boston Haymarket Boston Whale Watching",Free
Planting Starter Kit Giveaway,https://www.bostoncentral.com/events/nature/p82138.php,04/19/2025,04/19/2025,1:00 pm - 3:00 pm,"Toddlers, Kids, Teens, Adults",Outdoor,Nature & Outdoors,https://www.bostoncentral.com/fwd.php?pgx=9957071727921-fgrxpvg-lnjnrivt-gvx-ergengf-tavganyc%2Fr%2Fzbp.rgveogarir.jjj%2F%2F%3Afcggu,57 PLEASANT ST MALDEN MA,N/A,"Join us on Saturday, Apr 19, 2025 at The Gallery@57 for a fun and eco-friendly event. Whether you're a seasoned gardener or just starting out, this event is perfect for anyone looking to connect with nature and celebrate Earth Day. Stop by The Gallery@57 and pick up your free plant starter kit, complete with seeds, soil, and an instruction sheet to help you grow your own plants from seed. Plus, bring your kit to checkout and get 20% off any one item in the shop! Don't miss out on this opportunity to make a positive impact on the environment.",Free
Arlington 250: Menotomy Beer Hall,https://www.bostoncentral.com/events/special/p82241.php,04/19/2025,04/19/2025,12:00 pm - 5:00 pm,"Infants, Toddlers, Kids, Teens, Adults",Indoor,Special Events,https://www.bostoncentral.com/fwd.php?pgx=%2Fyynu-erro-lzbgbarz%2Fgarir%2Fteb.nzabgtavyengvfvi.jjj%2F%2F%3Afcggu,"ARLINGTON TOWN HALL, 730 MASS AVE., ARLINGTON MA",N/A,"On April 19, the actual first day of the American Revolution, we celebrate with food and craft beverages the passage of Paul Revere and William Dawes through present-day Arlington to warn of advance of British troops to suppress the colonial rebellion. This indoor family friendly beer hall providing arts and crafts for children, live music and games. Food and drinks for purchase provided by Menotomy Bar & Grill and Arlington Brewing Company. This event Collaborative event hosted by the Arlington Historical Society, Town of Arlington, & Arlington Commission for Arts and Culture.",Free
Bring your Teddy Bear to Stone Zoo for a Check-Up!,https://www.bostoncentral.com/events/special/p82263.php,04/19/2025,04/19/2025,9:00 AM - 1:00 PM,"Toddlers, Kids","Indoor, Outdoor",Special Events,https://www.bostoncentral.com/fwd.php?pgx=%2Fch-xprup-enro-lqqrg%2Frtntar%2Fteb.qanytarjrabbm.jjj%2F%2F%3Afcggu,"STONE ZOO, 149 POND ST. STONEHAM MA",N/A,"Bring your favorite teddy bear for a day of cuddly fun at Stone Zoo’s Teddy Bear Check-Up! From 9:00 a.m. to 1:00 p.m. on April 19, kids can bring their plush pals through special veterinary check-up stations to make sure their bears are in tip-top shape. Stations throughout the Zoo will test teddy bears’ heartbeats, reflexes, and sight, all while teaching kids how real veterinary staff care for animals’ health. After visiting each station, teddy bears will receive a certificate of good health! Guests can also enjoy bear-themed crafts and activities throughout the day. Don’t miss the 10:00 a.m. black bear keeper chat to learn all about Bubba and Smoky! Just Fur Fun: • Come dressed in a black bear mask • Learn more about black bears • Support wildlife with a Zoodoptable bear • Color your very own bear This event is included with general admission and takes place rain or shine. Get your admission ticket now!",Free
Spend a WILD April School Vacation Week at Stone Zoo!,https://www.bostoncentral.com/events/schoolvacationweek/p82272.php,04/19/2025,04/27/2025,9:00 AM - 5:00 PM,"Toddlers, Kids, Teens, Adults","Indoor, Outdoor",School Vacation,https://www.bostoncentral.com/fwd.php?pgx=%2Fmf-xrrj-abvgnpni-ybbupf-yvecn%2Frtntar%2Fteb.qanytarjrabbm.jjj%2F%2F%3Afcggu,149 POND ST STONEHAM MA,N/A,"Looking for a springtime adventure during April school vacation? Stone Zoo has you covered! From daily keeper chats to special themed events, there’s something exciting every day of the week. Here’s what’s happening: Daily Keeper Chats: Learn all about the Zoo’s animals and how the staff cares for them. Virtual Reality Experience: Get transported to the jungles and savannas of Africa through a thrilling VR ride! (Additional fee applies.) Special Events: • Saturday, April 19 – Teddy Bear Check-Up: Bring your favorite stuffed animal for a check-up! Kids will learn about veterinary care at stations around the Zoo and receive a certificate of good health for their teddy bears. • Tuesday, April 22 – Party for the Planet: Celebrate Earth Day with educational activities highlighting conservation and sustainability efforts. • Wednesday, April 23 – Storytime at the Zoo: Enjoy performances by Big Joe the Storyteller at 10:30 a.m. and 11:30 a.m. in the Animal Discovery Center. • Thursday, April 24 – Barnyard Day: Celebrate the petting zoo’s opening for the season! Meet Southdown sheep, Nigerian dwarf goats, and Nubian goats. Don’t miss the sheep-shearing demo at 10:00 a.m. • Friday, April 25 – Celebrate World Flamingo Day: Visit the Caribbean Coast aviary to meet Stone Zoo’s flamingos, enjoy flamingo-themed crafts, and learn about these fascinating birds. Join Zoo New England for a week of learning, exploration, and fun with the animals! Get your admission tickets now (included with general Zoo admission).",Free
Spend a WILD April School Vacation Week at Franklin Park Zoo!,https://www.bostoncentral.com/events/schoolvacationweek/p82276.php,04/19/2025,04/27/2025,9:00 AM - 5:00 PM,"Infants, Toddlers, Kids, Teens, Adults","Indoor, Outdoor",School Vacation,https://www.bostoncentral.com/fwd.php?pgx=%2Fmcs-xrrj-abvgnpni-ybbupf-yvecn%2Frtntar%2Fteb.qanytarjrabbm.jjj%2F%2F%3Afcggu,1 FRANKLIN PARK RD BOSTON MA,N/A,"Celebrate April school vacation week with wild adventures at Franklin Park Zoo! Spring is in the air, and there's no better time to explore the wonders of wildlife with family and friends. Here’s what’s happening throughout the week: Daily Chats: Meet our amazing animals and learn all about them from the experts! Aussie Aviary Adventure: Stroll through a fluttering wonderland of colorful budgies! Purchase a seed stick and a budgie might enjoy a snack from your hand. Franklin Farm: Visit our petting zoo to get up close with Nigerian dwarf goats and more. Special Event – World Tapir Day (April 22): Celebrate Baird’s tapirs and their role in the ecosystem. Meet Esteban Brenes-Mora, Senior Mesoamerica Associate of the Baird’s Tapir Survival Alliance, during special talks at 10 a.m. and 12 p.m. in the Tropical Forest’s Hippo Theater. Join Zoo New England for a week of learning, exploration, and fun with the animals! Get your admission tickets now (included with general Zoo admission).",Free
Science Spotlights: Short of Breath? Here’s a Rock and the Icy Origins of Life,https://www.bostoncentral.com/events/lectures/p82293.php,04/19/2025,04/19/2025,2:00 pm – 3:30 pm,"Teens, Adults",Indoor,Lectures/Discussions,https://www.bostoncentral.com/fwd.php?pgx=%2Frsvy-sb-favtveb-lpv-qan-xpbe-n-freru-ugnreo-sb-gebuf-fgutvygbcf-rparvpf%2Fgarir_enqarynp%2Fpfzu%2Fhqr.qenienu.frgvforj%2F%2F%3Afcggu,"HARVARD MUSEUM OF NATURAL HISTORY (CLASSROOM B, THIRD FLOOR), 26 OXFORD STREET CAMBRIDGE MA",N/A,"2:00–2:30 pm Short of Breath? Here’s a Rock When we think of electricity, we often picture wires, circuits and generators. But did you know that living things can also produce electricity? In fact, electricity powers many of the biological processes in living things, including us! Even more surprising is that bacteria can use electricity to “breathe rocks.” What does this mean exactly? Join Harvard scientist Federica Calabrese as she uncovers how some microbes evolved to live in oxygen-free environments and how we can harness “bio-electricity” to power on own electronic devices. 3:00–3:30 pm The Icy Origin of Life Have you ever wondered how life began? The answer might be hidden in space—on tiny cosmic snowflakes! In the freezing depths of space, dust and gas come together to form icy particles that hold the ingredients for making planets and maybe even life itself. Scientists can recreate these conditions in the lab to better understand how simple molecules can transform into the building blocks of life. Join Harvard scientist Alexia Simon as she explores how the coldest places in the universe may have helped life get its start! Recommended for ages 10 and up. Regular museum admission rates apply. Presented by the Harvard Museum of Natural History and Harvard Museums of Science & Culture.",$$see below
Youth Resource Fair at Boys and Girls Club of Metro South,https://www.bostoncentral.com/events/special/p82346.php,04/19/2025,04/19/2025,10:00am - 2:00pm,"Infants, Toddlers, Kids, Teens, Adults",Indoor,Special Events,https://www.bostoncentral.com/fwd.php?pgx=gvqr%2FVh9pM9A_tyoL29OsIo3xfRG5xLrU1XqfizY6TGv6R0j1%2Fq%2Ffzebs%2Fzbp.rytbbt.fpbq%2F%2F%3Afcggu,233 WARREN AVENUE BROCKTON MA,5088570272,"Join Community Connections of Brockton and The Brockton Family Resource Center for our Youth Resource Fair! Along with receiving information about various resources available to you, this exciting event will have fun games and activities, lunch, ice cream, slushies, music, photo booth, face painting, crafts, and more!! Youth Registration Invite your friends to come with you and have some fun!!! WEBSITE ↑ top docs.google.com/forms/d/1w0E6iTG6LmvsdK1HeYk5TEsk3bVfB92Yblg_N9Zc9uI/edit LOCATION ↑ top 233 Warren Avenue, Brockton, MA, 02301 map Phone: 5088570272 Boys and Girls Club of Metro South 233 Warren Avenue, Brockton, MA 02301 RELATED LINKS ↑ top Profiles Special Events Events Youth Resource Fair at Boys and Girls Club of Metr... , 4/19/25-4/19/25 Info changes frequently. We cannot warrant it.  Verify with Youth Resource Fair at Boys and Girls Club of Metro South before making the trek. If you find an error, please report it... Report Error Popular Resources Boston with Kids Free Things to Do Family & Kids Events Mass RMV - DMV Boston Birthday Parties Boston Museums Rose Kennedy Greenway Boston Aquarium Boston Massachusetts Boston Bowling Boston Haymarket Boston Whale Watching",Free
